Day,Rain,ActiveMode,ActiveNorm,ActiveModeCounterToInactiveNorm,InactiveModeCounterToActiveNorm,LocalCommute,CityCommute,DistantCommute,Subculture A,Subculture B,Subculture C,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
135,0,35426,8294,31944,4812,22896,12530,0,11855,10762,12809,1041,901,1163,940,2302,1845,3952,1406,957,1079,3184,4012,1238,2139,1406,2085,2693,1252,1195,636
136,0,35374,8405,31866,4897,22862,12512,0,11834,10761,12779,1041,901,1163,939,2302,1845,3952,1406,957,1079,3184,4012,1238,2139,1406,2069,2693,1252,1160,636
137,0,35342,8290,31880,4828,22843,12499,0,11809,10768,12765,1041,901,1163,939,2302,1845,3952,1406,957,1079,3183,4012,1238,2139,1406,2071,2693,1252,1127,636
140,1,31448,8302,28331,5185,19294,12154,0,10610,9546,11292,773,901,1066,902,2235,1171,3951,1039,763,1073,3089,4010,1238,879,1405,1554,2418,1252,1126,603
141,0,35366,5520,32978,3132,22840,12526,0,11821,10750,12795,1043,901,1163,936,2302,1849,3952,1406,957,1079,3178,4012,1238,2149,1406,2064,2696,1252,1147,636
142,0,35418,8306,31945,4833,22910,12508,0,11838,10776,12804,1042,901,1163,936,2302,1847,3952,1406,957,1079,3179,4012,1238,2143,1406,2097,2693,1252,1177,636
143,0,35370,8330,31874,4834,22866,12504,0,11855,10746,12769,1042,901,1163,934,2302,1847,3952,1406,957,1079,3177,4012,1238,2143,1406,2092,2693,1252,1138,636
144,0,35365,8353,31874,4862,22877,12488,0,11839,10757,12769,1042,901,1163,933,2302,1847,3952,1406,957,1079,3176,4012,1238,2143,1406,2067,2692,1252,1161,636
147,0,35394,8331,31899,4836,22894,12500,0,11837,10763,12794,1042,901,1163,933,2302,1847,3952,1406,957,1079,3175,4012,1238,2144,1406,2104,2692,1252,1153,636
148,0,35377,8337,31893,4853,22873,12504,0,11840,10761,12776,1042,901,1163,933,2302,1847,3952,1406,957,1079,3174,4012,1238,2144,1406,2093,2692,1252,1148,636
149,0,35342,8352,31836,4846,22850,12492,0,11820,10748,12774,1042,901,1163,932,2302,1847,3952,1406,957,1079,3173,4012,1238,2144,1406,2068,2692,1252,1140,636
150,0,35324,8268,31868,4812,22834,12490,0,11829,10740,12755,1043,901,1163,931,2302,1847,3952,1406,957,1079,3172,4012,1238,2144,1406,2047,2692,1252,1144,636
151,0,35358,8264,31903,4809,22878,12480,0,11849,10750,12759,1043,901,1163,930,2302,1847,3952,1406,957,1079,3171,4012,1238,2144,1406,2072,2692,1252,1155,636
154,0,35345,8309,31858,4822,22851,12494,0,11820,10758,12767,1043,901,1163,930,2302,1847,3952,1406,957,1079,3171,4012,1238,2144,1406,2072,2691,1252,1143,636
155,0,35359,8239,31903,4783,22874,12485,0,11846,10757,12756,1043,901,1163,930,2302,1847,3952,1406,957,1079,3169,4012,1238,2144,1406,2068,2691,1252,1163,636
156,0,35344,8279,31889,4824,22833,12511,0,11823,10750,12771,1044,901,1163,927,2302,1847,3952,1406,957,1079,3168,4012,1238,2144,1406,2054,2691,1252,1165,636
157,0,35331,8256,31893,4818,22856,12475,0,11823,10751,12757,1044,901,1163,925,2302,1847,3952,1406,957,1079,3166,4012,1238,2144,1406,2067,2691,1252,1143,636
158,0,35321,8267,31866,4812,22850,12471,0,11814,10748,12759,1044,901,1163,925,2302,1847,3952,1406,957,1079,3165,4012,1238,2144,1406,2074,2691,1252,1127,636
161,0,35331,8236,31879,4784,22859,12472,0,11824,10747,12760,1044,901,1163,924,2302,1847,3952,1406,957,1079,3163,4012,1238,2144,1406,2077,2691,1252,1137,636
162,0,35335,8249,31896,4810,22850,12485,0,11792,10760,12783,1044,901,1163,924,2302,1847,3952,1406,957,1079,3160,4012,1238,2144,1406,2073,2691,1252,1148,636
163,1,31374,8229,28296,5151,19280,12094,0,10580,9542,11252,775,901,1066,889,2236,1172,3951,1039,763,1074,3057,4010,1238,869,1405,1557,2423,1252,1093,604
164,1,31339,5470,29202,3333,19256,12083,0,10549,9544,11246,775,901,1066,890,2226,1202,3951,1042,765,1072,3064,4009,1238,887,1405,1512,2401,1252,1079,602
165,0,35304,5474,32952,3122,22838,12466,0,11795,10746,12763,1046,901,1161,921,2300,1847,3952,1406,958,1079,3152,4012,1238,2152,1406,2035,2690,1252,1161,635
168,0,35281,8261,31837,4817,22824,12457,0,11800,10738,12743,1046,901,1162,922,2300,1847,3952,1406,959,1079,3153,4012,1238,2145,1406,2037,2689,1252,1139,636
